episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_faulty_episodes,num_healthy_workers,num_in_flight_async_reqs,num_remote_worker_restarts,num_agent_steps_sampled,num_agent_steps_trained,num_env_steps_sampled,num_env_steps_trained,num_env_steps_sampled_this_iter,num_env_steps_trained_this_iter,num_env_steps_sampled_throughput_per_sec,num_env_steps_trained_throughput_per_sec,timesteps_total,num_steps_trained_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,info/num_env_steps_sampled,info/num_env_steps_trained,info/num_agent_steps_sampled,info/num_agent_steps_trained,sampler_results/episode_reward_max,sampler_results/episode_reward_min,sampler_results/episode_reward_mean,sampler_results/episode_len_mean,sampler_results/episodes_this_iter,sampler_results/num_faulty_episodes,hist_stats/episode_reward,hist_stats/episode_lengths,timers/training_iteration_time_ms,timers/sample_time_ms,timers/learn_time_ms,timers/learn_throughput,timers/synch_weights_time_ms,counters/num_env_steps_sampled,counters/num_env_steps_trained,counters/num_agent_steps_sampled,counters/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,sampler_results/hist_stats/episode_reward,sampler_results/hist_stats/episode_lengths,info/learner/policy_0/learner_stats/cur_kl_coeff,info/learner/policy_0/learner_stats/cur_lr,info/learner/policy_0/learner_stats/total_loss,info/learner/policy_0/learner_stats/policy_loss,info/learner/policy_0/learner_stats/vf_loss,info/learner/policy_0/learner_stats/vf_explained_var,info/learner/policy_0/learner_stats/kl,info/learner/policy_0/learner_stats/entropy,info/learner/policy_0/learner_stats/entropy_coeff
nan,nan,nan,nan,0,0,9,0,0,40000,40000,4000,4000,4000,4000,9.254780908782719,9.254780908782719,4000,4000,40000,False,0,1,8c654_00000,2023-11-30_16-58-41,1701381521,432.2466859817505,432.2466859817505,10666,Joys-MacBook-Pro.local,127.0.0.1,432.2466859817505,1,4000,4000,40000,40000,nan,nan,nan,nan,0,0,[],[],432208.97,4513.945,427672.642,9.353,8.594,4000,4000,40000,40000,39.50102389078498,80.87440273037542,[],[],0.20000000298023224,4.999999873689376e-05,0.97661096,-0.022866394,0.9966662,0.15637542,0.0140559515,1.5923958,0.0
nan,nan,nan,nan,0,0,9,0,0,80000,80000,8000,8000,4000,4000,16.750447110472752,16.750447110472752,8000,4000,80000,False,0,2,8c654_00000,2023-11-30_17-02-39,1701381759,238.83089685440063,671.0775828361511,10666,Joys-MacBook-Pro.local,127.0.0.1,671.0775828361511,2,8000,8000,80000,80000,nan,nan,nan,nan,0,0,[],[],335504.259,4126.409,331353.721,12.072,11.407,8000,8000,80000,80000,38.23894736842105,80.37263157894738,[],[],0.20000000298023224,4.999999873689376e-05,0.15731756,-0.017044041,0.1725817,0.34941974,0.008899582,1.5772359,0.0
nan,nan,nan,nan,0,0,9,0,0,120000,120000,12000,12000,4000,4000,19.89045294759641,19.89045294759641,12000,4000,120000,False,0,3,8c654_00000,2023-11-30_17-06-01,1701381961,201.13007736206055,872.2076601982117,10666,Joys-MacBook-Pro.local,127.0.0.1,872.2076601982117,3,12000,12000,120000,120000,nan,nan,nan,nan,0,0,[],[],290703.327,4033.223,286646.885,13.954,11.649,12000,12000,120000,120000,34.27456445993031,78.85993031358885,[],[],0.20000000298023224,4.999999873689376e-05,0.10084447,-0.021323109,0.11963616,0.49918875,0.012657137,1.5666822,0.0
nan,nan,nan,nan,0,0,9,0,0,160000,160000,16000,16000,4000,4000,20.104051825831224,20.104051825831224,16000,4000,160000,False,0,4,8c654_00000,2023-11-30_17-09-20,1701382160,198.99336004257202,1071.2010202407837,10666,Joys-MacBook-Pro.local,127.0.0.1,1071.2010202407837,4,16000,16000,160000,160000,nan,nan,nan,nan,0,0,[],[],267768.701,3914.19,263831.279,15.161,11.591,16000,16000,160000,160000,33.597163120567366,77.84858156028369,[],[],0.20000000298023224,4.999999873689376e-05,0.16619022,-0.022344962,0.185766,0.5692026,0.013845781,1.5382534,0.0
nan,nan,nan,nan,0,0,9,0,0,200000,200000,20000,20000,4000,4000,20.340075698126345,20.340075698126345,20000,4000,200000,False,0,5,8c654_00000,2023-11-30_17-12-36,1701382356,196.69313597679138,1267.894156217575,10666,Joys-MacBook-Pro.local,127.0.0.1,1267.894156217575,5,20000,20000,200000,200000,nan,nan,nan,nan,0,0,[],[],253546.174,3826.233,249697.451,16.019,11.498,20000,20000,200000,200000,36.30537634408602,78.63189964157708,[],[],0.20000000298023224,4.999999873689376e-05,0.36008868,-0.024583397,0.3817113,0.59025705,0.014803868,1.5065862,0.0
nan,nan,nan,nan,0,0,9,0,0,240000,240000,24000,24000,4000,4000,20.6034411970444,20.6034411970444,24000,4000,240000,False,0,6,8c654_00000,2023-11-30_17-15-50,1701382550,194.1757469177246,1462.0699031352997,10666,Joys-MacBook-Pro.local,127.0.0.1,1462.0699031352997,6,24000,24000,240000,240000,nan,nan,nan,nan,0,0,[],[],243645.527,3789.005,239834.709,16.678,11.432,24000,24000,240000,240000,33.37282608695653,77.26702898550724,[],[],0.20000000298023224,4.999999873689376e-05,0.4715891,-0.020052977,0.48913115,0.57096,0.012554415,1.4827371,0.0
nan,nan,nan,nan,0,0,9,0,0,280000,280000,28000,28000,4000,4000,20.611622900170346,20.611622900170346,28000,4000,280000,False,0,7,8c654_00000,2023-11-30_17-19-05,1701382745,194.09854316711426,1656.168446302414,10666,Joys-MacBook-Pro.local,127.0.0.1,1656.168446302414,7,28000,28000,280000,280000,nan,nan,nan,nan,0,0,[],[],236562.626,3699.069,232841.788,17.179,11.49,28000,28000,280000,280000,35.19927536231884,77.26775362318841,[],[],0.20000000298023224,4.999999873689376e-05,0.56018865,-0.024356829,0.5818025,0.69452727,0.013714916,1.4577154,0.0
nan,nan,nan,nan,0,0,9,0,0,320000,320000,32000,32000,4000,4000,20.16307573204699,20.16307573204699,32000,4000,320000,False,0,8,8c654_00000,2023-11-30_17-22-23,1701382943,198.41858625411987,1854.5870325565338,10666,Joys-MacBook-Pro.local,127.0.0.1,1854.5870325565338,8,32000,32000,320000,320000,nan,nan,nan,nan,0,0,[],[],231790.097,3746.192,228021.881,17.542,11.562,32000,32000,320000,320000,39.219858156028366,78.37659574468084,[],[],0.20000000298023224,4.999999873689376e-05,0.7132582,-0.025425702,0.73592794,0.69004196,0.013780013,1.4382781,0.0
nan,nan,nan,nan,0,0,9,0,0,360000,360000,36000,36000,4000,4000,19.860411197742586,19.860411197742586,36000,4000,360000,False,0,9,8c654_00000,2023-11-30_17-25-44,1701383144,201.4544858932495,2056.0415184497833,10666,Joys-MacBook-Pro.local,127.0.0.1,2056.0415184497833,9,36000,36000,360000,360000,nan,nan,nan,nan,0,0,[],[],228414.047,3734.468,224656.293,17.805,13.031,36000,36000,360000,360000,42.37692307692308,80.28531468531469,[],[],0.20000000298023224,4.999999873689376e-05,0.84640884,-0.025761517,0.8694023,0.6826689,0.01384071,1.4076412,0.0
nan,nan,nan,nan,0,0,9,0,0,400000,400000,40000,40000,4000,4000,19.982727627618683,19.982727627618683,40000,4000,400000,False,0,10,8c654_00000,2023-11-30_17-29-05,1701383345,200.20559191703796,2256.2471103668213,10666,Joys-MacBook-Pro.local,127.0.0.1,2256.2471103668213,10,40000,40000,400000,400000,nan,nan,nan,nan,0,0,[],[],225589.926,3880.963,221686.131,18.044,12.851,40000,40000,400000,400000,40.01649122807018,77.0859649122807,[],[],0.20000000298023224,4.999999873689376e-05,0.8438054,-0.027412638,0.86845016,0.69446355,0.013839224,1.3933882,0.0
